,SMILES,hit,tan to nearest abx,tan to nearest ts,row_num,matching_frags,cluster
405,FC1=CC=CC(=C1)C(=O)NC1=NC2=C(Cl)C(Cl)=CC=C2S1,0.5272097915410996,0.4192139737991266,0.4288240495137047,263,[8],72
406,O=C(Nc1cc(C(F)(F)F)ccc1N1CCOCC1)c1ccc(Cl)c(Cl)c1,0.6409758448600769,0.4104534973097617,0.40338379341050756,264,[0],3
407,ClC1=CC=C(C=C1)N1N=CC2=C1N=CN(CC1=CC=C(Cl)C(Cl)=C1)C2=O,0.5212213361263275,0.4763358778625954,0.487090367428004,265,[20],24
408,O=C(Nc1nc2ccc(Cl)cc2s1)c1cccc(Cl)c1Cl,0.5260746890306472,0.40419657647708446,0.48050579557428874,266,[7],72
409,FC1=C(C=CN=C1)N1CCOC(C1)C1=CC(Cl)=C(Cl)C=C1,0.7589839613437652,0.3691860465116279,0.375,267,[61],7
410,NC1=C(SC(NC2=CC=C(F)C(Cl)=C2)=N1)C(=O)C1=CC=C(F)C=C1,0.610306646823883,0.41411042944785276,0.4158415841584158,268,[1],45
411,COC1=C(C=CC=C1)C(=O)C1=C(N)N=C(NC2=CC=C(F)C(Cl)=C2)S1,0.6230913972854615,0.4747834946510443,0.47677865612648224,269,[1],45
416,COC1=CC=C2N=CC(=C(Cl)C2=C1)S(=O)(=O)C1=CC(Cl)=C(Cl)C=C1,0.6192826002836227,0.4243719935863175,0.44110854503464203,270,[4],53
417,FC1=CC=C2N=CC(=C(Cl)C2=C1)S(=O)(=O)C1=CC(Cl)=C(Cl)C=C1,0.6431471943855286,0.4110622250157134,0.41522491349480967,271,[4],53
418,ClC1=CC=C2C(Cl)=C(C=NC2=C1)S(=O)(=O)C1=CC(Cl)=C(Cl)C=C1,0.7184956037998199,0.37975334018499485,0.39420289855072466,272,[4],53
419,FC1=CC=C2C(Cl)=C(C=NC2=C1)S(=O)(=O)C1=CC(Cl)=C(Cl)C=C1,0.6626081544160843,0.3992824192721681,0.4124438742783836,273,[4],53
422,FC1=CC=C(NC(=O)C2=CC=CN(CC3=CC=C(C=C3)C(F)(F)F)C2=O)C=C1Cl,0.5195221284031868,0.4215442092154421,0.4259757738896366,274,"[1, 74]",70
423,ClC1=CC=C(NC(=O)C2=CN(CC3=CC=CC=C3)C(=O)C=C2)C=C1Cl,0.5374138832092286,0.377533294730747,0.39125799573560766,275,[91],41
424,FC1=CC=C(NC(=O)C2=CN(CC3=CC=C(C=C3)C(F)(F)F)C(=O)C=C2)C=C1Cl,0.5794978594779968,0.40562248995983935,0.40635564570655847,276,"[1, 103]",41
